,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Chelydra serpentina,-0.326892663,-1.201472924,-0.415674624,0.32458235,-0.16942624,Extant,2,Rowing,Reptile,Amniotes,Che.se,139
Chitra chitra,-0.562919651,-0.899670869,0.481167744,0.756233703,-0.459262323,Extant,2,Rowing,Reptile,Amniotes,Chi.ch,140
Cornufer guppyi,-0.268145358,-1.596435483,-0.840106915,1.442288403,-1.095438661,Extant,2,Rowing,Amphibian,Amphibian,Cor.gu,141
Crocodylus intermedius,-0.859055929,-0.000108619,2.382771561,1.344130139,-0.097782441,Extant,2,Undulation,Reptile,Amniotes,Cro.in,142
Cocodrylus porosus,-1.023171215,0.209769788,1.729318422,0.50416671,-0.516328575,Extant,2,Undulation,Reptile,Amniotes,Cro.po,143
Cryptobranchus alleganiensis,-0.626344673,-1.274391641,-1.250086236,0.83003135,-0.269093955,Extant,2,Undulation,Amphibian,Amphibian,Cry.al,144
Dermochelys coriacea,2.031343355,-1.247274768,-0.506152474,1.393502016,0.168054778,Extant,2,Forelimb oscillation,Reptile,Amniotes,Der.co,145
Desmana moschata,-1.917276605,-0.865174869,0.22664409,0.867235782,1.898919902,Extant,2,Paddling,Mammal,Amniotes,Des.mo,146
Enhydra lutris,-1.807378726,-0.873034475,-1.470866898,-0.642979986,-0.738240397,Extant,2,Undulation,Mammal,Amniotes,En.lu,147
Eremtochelys imbricata,2.279333335,-2.949956844,-0.968857785,1.589584365,0.577473838,Extant,2,Forelimb oscillation,Reptile,Amniotes,Ere.im,148
Eudyptes chrysocome,1.682015857,-1.722211687,0.502762214,1.450810019,0.152230037,Extant,2,Forelimb oscillation,Aves,Amniotes,Eu.ch,149
Halichoerus grypus,-1.319469904,-0.801981473,-1.926885152,0.308253661,0.545691301,Extant,2,Undulation,Mammal,Amniotes,Ha.gry,150
Hexaprotodon liberiensis,-0.215096024,-0.829972939,-1.122535312,0.124467861,-0.975261974,Extant,2,Paddling,Mammal,Amniotes,Hex.li,151
Hippopotamus amphibus,-1.031089473,-0.372746648,-2.142648512,0.095319689,-0.443383659,Extant,2,Paddling,Mammal,Amniotes,Hi.am,152
Hydrochoerus hydrochaeris,-0.831618445,-0.931619799,-0.998286616,0.109805433,-1.645482004,Extant,2,Paddling,Mammal,Amniotes,Hy.hy,153
Hydromys sp,-1.899823094,-1.560884811,0.725820674,-0.199388143,1.938930769,Extant,2,Paddling,Mammal,Amniotes,Hy.sp,154
Kinosternon acutum,-0.939026849,-1.628306422,-0.959529548,-0.607687874,-1.181997891,Extant,2,Rowing,Reptile,Amniotes,Ki.ac,155
Kinosternon subrubrum,-0.761697315,-1.781888425,-0.934052009,-0.10464653,-0.978424692,Extant,2,Rowing,Reptile,Amniotes,Ki.su,156
Lissemys punctata,0.419739889,-1.483265674,-0.481911433,-0.393674283,-1.156455989,Extant,2,Rowing,Reptile,Amniotes,Li.pu,157
Lutra lutra,-1.395781861,-0.990124136,-0.926803664,-0.004059185,-0.271065593,Extant,2,Undulation,Mammal,Amniotes,Lu.lu,158
Mesoclemmys nasuta,0.41209573,-2.094999998,0.040894832,0.897775264,-0.85709852,Extant,2,Rowing,Reptile,Amniotes,Me.na,159
Miorunga leonina,-1.106159734,-0.227781137,-2.749223369,-0.242362869,-0.059950277,Extant,2,Undulation,Mammal,Amniotes,Mi.le,160
Myocastor coypus,-1.548964049,-1.569253318,0.241920539,0.556617531,1.095454603,Extant,2,Paddling,Mammal,Amniotes,Myo.co,161
Neovison vison,-0.514553669,-1.155771668,-0.687543262,-0.754324161,-0.595241393,Extant,2,Paddling,Mammal,Amniotes,Neo.vi,162
Odobenus rosmarus,-0.614391413,-0.337565238,-2.144256136,-0.413475385,-1.0890419,Extant,2,Undulation,Mammal,Amniotes,Od.ro,163
Ondatra zybethicus,-1.779553535,-1.375654027,-0.593032107,0.421603435,1.17444664,Extant,2,Paddling,Mammal,Amniotes,On.zy,164
Ornithorhynchus anatinus,-0.989341235,-1.042506726,-0.258513416,1.785459574,0.470583374,Extant,2,Rowing,Mammal,Amniotes,Or.an,165
Otaria byronia,0.090081856,-1.132879635,-1.965011203,0.431102015,0.220721474,Extant,2,Forelimb oscillation,Mammal,Amniotes,Ot.by,166
Phoca vitulina,-0.66478045,-0.510589624,-1.571086744,-0.3493839,-0.185127448,Extant,2,Undulation,Mammal,Amniotes,Ph.vi,167
Potamogale velox,-0.541624516,-1.141894965,0.818846837,-0.435411331,-0.340874622,Extant,2,Paddling,Mammal,Amniotes,Po.ve,168
Pteronura brasiliensis,-1.073195326,-0.516683149,-0.9974722,-0.629420547,0.084179172,Extant,2,Undulation,Mammal,Amniotes,Pte.br,169
Spheniscus demersus,1.451723211,-1.536835877,0.204565884,1.42050568,0.052490168,Extant,2,Forelimb oscillation,Aves,Amniotes,Sph.de,170
Staurotypus triporcatus,-0.042044683,-1.362622506,-0.358099733,0.271929635,-0.900589723,Extant,2,Rowing,Reptile,Amniotes,St.tr,171
Tapirus indicus,-0.499616186,-1.000588808,-1.226674852,0.479126221,-0.424708417,Extant,2,Paddling,Mammal,Amniotes,Ta.in,172
Tomistoma schlegelii,-1.23083631,0.042339848,2.145462981,1.142802136,-0.411270666,Extant,2,Undulation,Reptile,Amniotes,To.sc,173
Tryonyx triunguis,-0.364380468,-0.723639838,-0.802004812,1.132818495,0.004652313,Extant,2,Rowing,Reptile,Amniotes,Try.tr,174
Varanus niloticus,-1.71509768,-0.946565369,0.10319813,0.150816532,1.108268835,Extant,2,Undulation,Reptile,Amniotes,Va.ni,175
Amphiuma means,-2.557808692,-0.131459307,-1.512038233,-1.576845406,-2.525275923,Extant,2,Undulation,Amphibian,Amphibian,Am.me,176
Delphinus delphis,-1.28157064,1.181998143,-2.399389382,0.534782452,1.504393628,Extant,2,Caudal oscillation,Mammal,Amniotes,Del.de,177
Dugong dugon,-1.045548984,0.168456395,-1.180523306,-0.525341705,-0.778208058,Extant,2,Caudal oscillation,Mammal,Amniotes,Du.du,178
Phocoena phocoena,-1.714812226,0.299726661,-1.757866558,-0.019843222,0.847673503,Extant,2,Caudal oscillation,Mammal,Amniotes,Pho.ph,179
Trichechus manatus,-1.129733786,0.005382269,-1.469994561,-0.608989272,-0.41662729,Extant,2,Undulation,Mammal,Amniotes,Tri.ma,180
Trichechus senegalensis,-0.804811686,-0.56132081,-0.6536795,-0.051914879,-0.481225636,Extant,2,Undulation,Mammal,Amniotes,Tri.se,181
